gps_millis,timestamp,mean_residual,max_residual,rms_residual,num_satellites,spoofing_alert
1387195200000.0,2023-12-21 12:00:00,1.652000069618225,8.199999809265137,2.2959964275360107,50,False
1387195201000.0,2023-12-21 12:00:01,1.6519999504089355,8.300000190734863,2.284294366836548,50,False
1387195202000.0,2023-12-21 12:00:02,1.653999924659729,8.399999618530273,2.301608085632324,50,False
1387195203000.0,2023-12-21 12:00:03,1.6660000085830688,8.399999618530273,2.3119256496429443,50,False
1387195204000.0,2023-12-21 12:00:04,1.647999882698059,8.199999809265137,2.2842066287994385,50,False
1387195205000.0,2023-12-21 12:00:05,1.659999966621399,8.199999809265137,2.2839438915252686,50,False
1387195206000.0,2023-12-21 12:00:06,1.6579999923706055,8.199999809265137,2.2749505043029785,50,False
1387195207000.0,2023-12-21 12:00:07,1.6759998798370361,8.399999618530273,2.2977380752563477,50,False
1387195208000.0,2023-12-21 12:00:08,1.6620001792907715,8.5,2.3122718334198,50,False
1387195209000.0,2023-12-21 12:00:09,1.8078432083129883,8.5,2.5747644901275635,51,False
1387195210000.0,2023-12-21 12:00:10,1.8431373834609985,7.699999809265137,2.585024833679199,51,False
1387195211000.0,2023-12-21 12:00:11,1.8333333730697632,7.800000190734863,2.5924854278564453,51,False
1387195212000.0,2023-12-21 12:00:12,1.8392157554626465,7.800000190734863,2.6013572216033936,51,False
1387195213000.0,2023-12-21 12:00:13,1.8411765098571777,7.699999809265137,2.596717357635498,51,False
1387195214000.0,2023-12-21 12:00:14,1.8803921937942505,7.800000190734863,2.6281657218933105,51,False
1387195215000.0,2023-12-21 12:00:15,1.8745098114013672,7.599999904632568,2.610085964202881,51,False
1387195216000.0,2023-12-21 12:00:16,1.8470587730407715,7.699999809265137,2.5966796875,51,False
1387195217000.0,2023-12-21 12:00:17,1.7239999771118164,7.599999904632568,2.3960800170898438,50,False
1387195218000.0,2023-12-21 12:00:18,1.690000057220459,7.599999904632568,2.3623292446136475,50,False
1387195219000.0,2023-12-21 12:00:19,1.6779998540878296,7.699999809265137,2.358346939086914,50,False
1387195220000.0,2023-12-21 12:00:20,1.6740001440048218,7.900000095367432,2.367741584777832,50,False
1387195221000.0,2023-12-21 12:00:21,1.6519999504089355,8.0,2.357032060623169,50,False
1387195222000.0,2023-12-21 12:00:22,1.6918367147445679,7.800000190734863,2.370697021484375,49,False
1387195223000.0,2023-12-21 12:00:23,1.689795970916748,7.900000095367432,2.384216785430908,49,False
1387195224000.0,2023-12-21 12:00:24,1.6579999923706055,7.900000095367432,2.357159376144409,50,False
1387195225000.0,2023-12-21 12:00:25,1.6857142448425293,7.900000095367432,2.399064302444458,49,False
1387195226000.0,2023-12-21 12:00:26,1.6857142448425293,7.900000095367432,2.3939549922943115,49,False
1387195227000.0,2023-12-21 12:00:27,1.7899999618530273,7.800000190734863,2.5781776905059814,50,False
1387195228000.0,2023-12-21 12:00:28,1.7920001745224,7.800000190734863,2.5801548957824707,50,False
1387195229000.0,2023-12-21 12:00:29,1.8040001392364502,7.900000095367432,2.602306604385376,50,False
1387195230000.0,2023-12-21 12:00:30,1.7860000133514404,7.800000190734863,2.576159954071045,50,False
1387195231000.0,2023-12-21 12:00:31,1.7919999361038208,7.800000190734863,2.582014799118042,50,False
1387195232000.0,2023-12-21 12:00:32,1.7940001487731934,7.900000095367432,2.5849177837371826,50,False
1387195233000.0,2023-12-21 12:00:33,1.7699999809265137,7.699999809265137,2.546644687652588,50,False
1387195234000.0,2023-12-21 12:00:34,1.9942307472229004,16.600000381469727,3.37943434715271,52,False
1387195235000.0,2023-12-21 12:00:35,1.9865384101867676,15.800000190734863,3.311837673187256,52,False
1387195236000.0,2023-12-21 12:00:36,1.9788460731506348,13.800000190734863,3.1596920490264893,52,False
1387195237000.0,2023-12-21 12:00:37,1.9826922416687012,14.199999809265137,3.1991283893585205,52,False
1387195238000.0,2023-12-21 12:00:38,2.038461446762085,17.100000381469727,3.468928098678589,52,False
1387195239000.0,2023-12-21 12:00:39,2.086538553237915,17.100000381469727,3.5070531368255615,52,False
1387195240000.0,2023-12-21 12:00:40,1.8372550010681152,8.199999809265137,2.6423768997192383,51,False
1387195241000.0,2023-12-21 12:00:41,1.8372550010681152,8.199999809265137,2.647566318511963,51,False
1387195242000.0,2023-12-21 12:00:42,1.8450981378555298,8.300000190734863,2.666826009750366,51,False
1387195243000.0,2023-12-21 12:00:43,1.8764708042144775,8.300000190734863,2.6914169788360596,51,False
1387195244000.0,2023-12-21 12:00:44,1.8725491762161255,8.399999618530273,2.7098584175109863,51,False
1387195245000.0,2023-12-21 12:00:45,1.8941175937652588,8.5,2.7290737628936768,51,False
1387195246000.0,2023-12-21 12:00:46,1.8960784673690796,8.300000190734863,2.714846611022949,51,False
1387195247000.0,2023-12-21 12:00:47,1.899999976158142,8.5,2.731264352798462,51,False
1387195248000.0,2023-12-21 12:00:48,1.9199998378753662,8.399999618530273,2.7473623752593994,50,False
1387195249000.0,2023-12-21 12:00:49,1.9440001249313354,8.399999618530273,2.772219181060791,50,False
1387195250000.0,2023-12-21 12:00:50,1.936000108718872,8.399999618530273,2.76535701751709,50,False
1387195251000.0,2023-12-21 12:00:51,1.9640001058578491,8.399999618530273,2.8049240112304688,50,False
1387195252000.0,2023-12-21 12:00:52,1.9840000867843628,8.5,2.8509645462036133,50,False
1387195253000.0,2023-12-21 12:00:53,2.0320000648498535,8.600000381469727,2.887421131134033,50,False
1387195254000.0,2023-12-21 12:00:54,2.0352942943573,8.600000381469727,2.9009125232696533,51,False
1387195255000.0,2023-12-21 12:00:55,2.0352940559387207,8.800000190734863,2.938453435897827,51,False
