gps_millis,timestamp,D5_score,spoofing_alert,threshold,z_cn0_mean,z_cn0_std,z_doppler_mean,z_doppler_std,z_b_rx_ns,z_clock_drift_ns_s,n_sats,cn0_mean,cn0_std,doppler_mean,doppler_std
1387195200000.0,2013-12-16 12:00:00,5.868707656860352,False,9.47,1.2703866958618164,-1.6288522481918335,-1.1791497468948364,0.0029423432424664497,0.0853305533528328,1.7020456790924072,22,39.08000183105469,6.157258987426758,-948.9630737304688,1470.0272216796875
1387195201000.0,2013-12-16 12:00:01,5.870169639587402,False,9.47,1.2703866958618164,-1.6288522481918335,-1.1803597211837769,0.0021076358389109373,0.08641758561134338,1.7020456790924072,22,39.08000183105469,6.157258987426758,-949.2308349609375,1469.9393310546875
1387195202000.0,2013-12-16 12:00:02,5.915924072265625,False,9.47,1.2909170389175415,-1.652175784111023,-1.1813186407089233,0.0019627215806394815,0.08750461041927338,1.7020456790924072,22,39.119998931884766,6.133347988128662,-949.4430541992188,1469.924072265625
1387195203000.0,2013-12-16 12:00:03,5.803693771362305,False,9.47,1.2601206302642822,-1.5691115856170654,-1.1819957494735718,0.0018247629050165415,0.08859512954950333,1.7020456790924072,22,39.060001373291016,6.218504428863525,-949.5928955078125,1469.9095458984375
1387195204000.0,2013-12-16 12:00:04,5.842800140380859,False,9.47,1.2703866958618164,-1.5966081619262695,-1.1822155714035034,0.0018618609756231308,0.08968215435743332,1.7020456790924072,22,39.08000183105469,6.190315246582031,-949.6415405273438,1469.9134521484375
1387195205000.0,2013-12-16 12:00:05,5.737430572509766,False,9.47,1.2601206302642822,-1.4990893602371216,-1.1833698749542236,0.0020357584580779076,0.09076917916536331,1.7020456790924072,22,39.060001373291016,6.290290355682373,-949.89697265625,1469.9317626953125
1387195206000.0,2013-12-16 12:00:06,5.755483627319336,False,9.47,1.2498544454574585,-1.525889277458191,-1.1838130950927734,0.002021846594288945,0.09185970574617386,1.7020456790924072,22,39.040000915527344,6.262815475463867,-949.9950561523438,1469.9302978515625
1387195207000.0,2013-12-16 12:00:07,5.752448081970215,False,9.47,1.2498544454574585,-1.5195356607437134,-1.1853060722351074,0.0027591714169830084,0.09294673055410385,1.7020456790924072,22,39.040000915527344,6.269329071044922,-950.325439453125,1470.0079345703125
1387195208000.0,2013-12-16 12:00:08,5.715256690979004,False,9.47,1.2395882606506348,-1.4925103187561035,-1.185752272605896,0.0013262571301311255,0.09403375536203384,1.7020456790924072,22,39.02000045776367,6.297035217285156,-950.4241943359375,1469.8570556640625
1387195209000.0,2013-12-16 12:00:09,5.879293441772461,False,9.47,1.1488044261932373,-1.4061967134475708,-1.3761632442474365,0.15096260607242584,0.09512078016996384,1.7020456790924072,22,38.843135833740234,6.385522842407227,-992.5616455078125,1485.613037109375
1387195210000.0,2013-12-16 12:00:10,5.820517539978027,False,9.47,1.1286754608154297,-1.3646419048309326,-1.3777981996536255,0.1511446237564087,0.09621129930019379,1.7020456790924072,22,38.80392074584961,6.42812442779541,-992.9234619140625,1485.6322021484375
1387195211000.0,2013-12-16 12:00:11,5.798901557922363,False,9.47,1.1588689088821411,-1.313259482383728,-1.377254843711853,0.15017427504062653,0.09729832410812378,1.7020456790924072,22,38.86274337768555,6.480801105499268,-992.80322265625,1485.530029296875
1387195212000.0,2013-12-16 12:00:12,5.857558250427246,False,9.47,1.1488044261932373,-1.3787611722946167,-1.3790277242660522,0.15053366124629974,0.09838535636663437,1.7020456790924072,22,38.843135833740234,6.413649559020996,-993.195556640625,1485.56787109375
1387195213000.0,2013-12-16 12:00:13,5.914711952209473,False,9.47,1.1689352989196777,-1.4145289659500122,-1.3795021772384644,0.15022413432598114,0.09947587549686432,1.7020456790924072,22,38.882354736328125,6.376980781555176,-993.300537109375,1485.5352783203125
1387195214000.0,2013-12-16 12:00:14,5.861143112182617,False,9.47,1.1488044261932373,-1.3787611722946167,-1.3802311420440674,0.1507377028465271,0.10056290030479431,1.7020456790924072,22,38.843135833740234,6.413649559020996,-993.4618530273438,1485.58935546875
1387195215000.0,2013-12-16 12:00:15,5.873819351196289,False,9.47,1.1588689088821411,-1.3798346519470215,-1.3807791471481323,0.15064148604869843,0.1016499251127243,1.7020456790924072,22,38.86274337768555,6.412549018859863,-993.5831298828125,1485.5792236328125
1387195216000.0,2013-12-16 12:00:16,5.900824546813965,False,9.47,1.1991287469863892,-1.363451600074768,-1.3821184635162354,0.15133939683437347,0.10274045169353485,1.7020456790924072,22,38.94117736816406,6.429344654083252,-993.8795166015625,1485.6527099609375
1387195217000.0,2013-12-16 12:00:17,5.753996849060059,False,9.47,1.2909170389175415,-1.46365225315094,-1.1925643682479858,0.0009900556178763509,0.10382747650146484,1.7020456790924072,22,39.119998931884766,6.326620101928711,-951.9317016601562,1469.8216552734375
1387195218000.0,2013-12-16 12:00:18,5.708710670471191,False,9.47,1.3011832237243652,-1.4061191082000732,-1.1934081315994263,0.0010399061720818281,0.10491450130939484,1.7020456790924072,22,39.13999938964844,6.3856024742126465,-952.118408203125,1469.826904296875
1387195219000.0,2013-12-16 12:00:19,5.718867301940918,False,9.47,1.2703866958618164,-1.444174885749817,-1.195127248764038,0.0011314920848235488,0.10600152611732483,1.7020456790924072,22,39.08000183105469,6.346588134765625,-952.4988403320312,1469.8365478515625
1387195220000.0,2013-12-16 12:00:20,5.680371284484863,False,9.47,1.2601206302642822,-1.4142298698425293,-1.1953691244125366,0.0015140663599595428,0.10709204524755478,1.7020456790924072,22,39.060001373291016,6.3772873878479,-952.5523681640625,1469.8768310546875
