gps_millis,timestamp,mean_consistency_error,max_consistency_error,rms_consistency_error,spoofing_alert
1387195200000.0,2023-12-21 12:00:00,0.0,0.0,0.0,False
1387195201000.0,2023-12-21 12:00:01,1.1215997406951812,3.8641714613625027,1.4523703590186212,False
1387195202000.0,2023-12-21 12:00:02,0.9260859678103897,3.2388380963029135,1.1159295259211495,False
1387195203000.0,2023-12-21 12:00:03,1.1198580997905363,3.292199224256109,1.3976708092973522,False
1387195204000.0,2023-12-21 12:00:04,1.0198991262613415,3.4495856265455984,1.2324054578473973,False
1387195205000.0,2023-12-21 12:00:05,0.9939752104589512,2.597143142189907,1.1560710808690222,False
1387195206000.0,2023-12-21 12:00:06,1.0210113124170435,2.4862698474504015,1.1706234843626955,False
1387195207000.0,2023-12-21 12:00:07,0.9654311666036199,3.239309751453021,1.1534370573040111,False
1387195208000.0,2023-12-21 12:00:08,1.140775650728361,3.708422116955532,1.373277427596267,False
1387195209000.0,2023-12-21 12:00:09,1.072360092645228,3.5089238643435863,1.3337241939220872,False
1387195210000.0,2023-12-21 12:00:10,0.9225524478506829,2.50002799611849,1.0769605116931416,False
1387195211000.0,2023-12-21 12:00:11,1.0572177489656849,3.5294941024277193,1.2561180004223207,False
1387195212000.0,2023-12-21 12:00:12,0.9184478614240068,3.1993584171629763,1.1479937365284212,False
1387195213000.0,2023-12-21 12:00:13,0.9294357728522178,2.5745745740562995,1.1243674288403467,False
1387195214000.0,2023-12-21 12:00:14,1.053635200049589,3.3485573892534717,1.3570639799040796,False
1387195215000.0,2023-12-21 12:00:15,1.0509979440571993,3.5727732508590435,1.3473027938714734,False
1387195216000.0,2023-12-21 12:00:16,0.7555400120194032,2.4037527314980593,0.9658184093194131,False
1387195217000.0,2023-12-21 12:00:17,1.0233211736364027,3.215849670837656,1.2758331958740985,False
1387195218000.0,2023-12-21 12:00:18,0.9151757209807725,3.581230001143041,1.2278815534976861,False
1387195219000.0,2023-12-21 12:00:19,0.851272220411598,3.5747540077097852,1.1013186901146899,False
1387195220000.0,2023-12-21 12:00:20,1.208855910438414,3.5661033344016175,1.4669197960919038,False
1387195221000.0,2023-12-21 12:00:21,1.185429183183438,5.073925519812576,1.5209253934405986,False
1387195222000.0,2023-12-21 12:00:22,0.8694057714972592,3.2995387536169147,1.0761607022075474,False
1387195223000.0,2023-12-21 12:00:23,0.9990677225507162,3.1127342320350664,1.2267930842620995,False
1387195224000.0,2023-12-21 12:00:24,0.9235415301827852,3.400092829819954,1.1503746397911063,False
1387195225000.0,2023-12-21 12:00:25,0.9520575603464329,3.0008416046953457,1.1810307212491566,False
1387195226000.0,2023-12-21 12:00:26,0.8518682259152863,2.4889632210283423,1.0654138227656713,False
1387195227000.0,2023-12-21 12:00:27,1.0237301109998618,3.450509802897301,1.3249133920833,False
1387195228000.0,2023-12-21 12:00:28,1.0234225402891681,3.421749945025823,1.345464969009927,False
1387195229000.0,2023-12-21 12:00:29,0.8857516083922385,3.669470019665596,1.2001765485750546,False
1387195230000.0,2023-12-21 12:00:30,0.8660678916746696,3.3467289409270364,1.1349338575582677,False
1387195231000.0,2023-12-21 12:00:31,0.85253639042113,2.943226199831841,1.1541760886022954,False
1387195232000.0,2023-12-21 12:00:32,0.8261343815416304,3.7587780010307767,1.169688483576477,False
1387195233000.0,2023-12-21 12:00:33,0.9286486231915491,3.398340873027564,1.2329932663228154,False
1387195234000.0,2023-12-21 12:00:34,0.8295171418176696,2.876692182487247,1.1147028772371637,False
1387195235000.0,2023-12-21 12:00:35,0.8173571449507759,3.4809638754535115,1.0924727997755925,False
1387195236000.0,2023-12-21 12:00:36,0.994787356684369,3.455336413042943,1.3013684920961626,False
1387195237000.0,2023-12-21 12:00:37,0.9048358026818425,2.3824523251316663,1.0807484304866168,False
1387195238000.0,2023-12-21 12:00:38,0.9600693113382642,3.207553505565727,1.2316979072393563,False
1387195239000.0,2023-12-21 12:00:39,0.9360896558541462,2.8394731224061047,1.1634066767904931,False
1387195240000.0,2023-12-21 12:00:40,1.0576262911790557,3.693796938101684,1.2901249002474982,False
1387195241000.0,2023-12-21 12:00:41,1.065576421347851,3.1728434555030702,1.3196970793331997,False
1387195242000.0,2023-12-21 12:00:42,0.8861125043082542,3.5160786950393117,1.1033552281198302,False
1387195243000.0,2023-12-21 12:00:43,1.0357861525161849,3.61685474286935,1.29094192710855,False
1387195244000.0,2023-12-21 12:00:44,0.9715805309179499,2.754106376349732,1.2071502344024418,False
1387195245000.0,2023-12-21 12:00:45,0.8891084188152208,2.499183358100666,1.0743346484932874,False
1387195246000.0,2023-12-21 12:00:46,0.9911976332884936,3.6232303096438017,1.2698358145780229,False
1387195247000.0,2023-12-21 12:00:47,0.9421457433738741,3.0783394371401585,1.2253633306569363,False
1387195248000.0,2023-12-21 12:00:48,0.8557971807828921,2.529670095398828,1.0709929382843695,False
1387195249000.0,2023-12-21 12:00:49,0.9002027501506835,2.6102163375461274,1.1938150341634137,False
1387195250000.0,2023-12-21 12:00:50,0.8876899956374293,3.5518516755214193,1.2068445843259135,False
1387195251000.0,2023-12-21 12:00:51,1.0180572220356972,3.533229593690379,1.3277847591313234,False
1387195252000.0,2023-12-21 12:00:52,0.93424283802285,2.7292144120278294,1.2048295810181604,False
1387195253000.0,2023-12-21 12:00:53,0.7670158508542579,2.5766723931584465,1.016811222347288,False
1387195254000.0,2023-12-21 12:00:54,0.7923523748759493,2.9473448351038343,1.120769388116562,False
1387195255000.0,2023-12-21 12:00:55,0.8509262962583977,2.9038348062693444,1.1772239458449683,False
