gps_millis,timestamp,position_velocity,clock_drift_rate,position_jump_alert,clock_jump_alert,spoofing_alert
1387198902000.0,1387198902000.0,0.0,92.34375,False,False,False
1387198903000.0,1387198903000.0,0.0,92.046875,False,False,False
1387198904000.0,1387198904000.0,0.0,92.328125,False,False,False
1387198905000.0,1387198905000.0,0.0,92.328125,False,False,False
1387198906000.0,1387198906000.0,0.0,92.046875,False,False,False
1387198907000.0,1387198907000.0,0.0,92.328125,False,False,False
1387198908000.0,1387198908000.0,0.0,92.328125,False,False,False
1387198909000.0,1387198909000.0,0.0,92.046875,False,False,False
1387198910000.0,1387198910000.0,0.0,92.328125,False,False,False
1387198911000.0,1387198911000.0,0.0,92.046875,False,False,False
1387198912000.0,1387198912000.0,0.0,92.34375,False,False,False
1387198913000.0,1387198913000.0,0.0,92.03125,False,False,False
1387198914000.0,1387198914000.0,0.0,92.328125,False,False,False
1387198915000.0,1387198915000.0,0.0,92.34375,False,False,False
1387198916000.0,1387198916000.0,0.0,92.03125,False,False,False
1387198917000.0,1387198917000.0,0.0,92.328125,False,False,False
1387198918000.0,1387198918000.0,0.0,92.046875,False,False,False
1387198919000.0,1387198919000.0,0.0,92.328125,False,False,False
1387198920000.0,1387198920000.0,0.0,92.03125,False,False,False
1387198921000.0,1387198921000.0,0.0,92.359375,False,False,False
1387198922000.0,1387198922000.0,0.0,92.03125,False,False,False
1387198923000.0,1387198923000.0,0.0,92.328125,False,False,False
1387198924000.0,1387198924000.0,0.0,92.03125,False,False,False
1387198925000.0,1387198925000.0,0.0,92.34375,False,False,False
1387198926000.0,1387198926000.0,0.0,92.03125,False,False,False
1387198927000.0,1387198927000.0,0.0,92.328125,False,False,False
1387198928000.0,1387198928000.0,0.0,92.046875,False,False,False
1387198929000.0,1387198929000.0,0.0,92.328125,False,False,False
1387198930000.0,1387198930000.0,0.125,92.046875,False,False,False
1387198931000.0,1387198931000.0,0.0,92.34375,False,False,False
1387198932000.0,1387198932000.0,0.0,92.03125,False,False,False
1387198933000.0,1387198933000.0,0.0,92.328125,False,False,False
1387198934000.0,1387198934000.0,0.0,92.046875,False,False,False
1387198935000.0,1387198935000.0,0.0,92.328125,False,False,False
1387198936000.0,1387198936000.0,0.125,92.03125,False,False,False
1387198937000.0,1387198937000.0,0.0,92.03125,False,False,False
1387198938000.0,1387198938000.0,0.0,92.34375,False,False,False
1387198939000.0,1387198939000.0,0.0,92.046875,False,False,False
1387198940000.0,1387198940000.0,0.0,92.328125,False,False,False
1387198941000.0,1387198941000.0,0.0,92.046875,False,False,False
1387198942000.0,1387198942000.0,0.0,92.328125,False,False,False
1387198943000.0,1387198943000.0,0.0,92.328125,False,False,False
1387198944000.0,1387198944000.0,0.0,92.046875,False,False,False
1387198945000.0,1387198945000.0,0.279508501291275,92.03125,False,False,False
1387198946000.0,1387198946000.0,0.125,92.03125,False,False,False
1387198947000.0,1387198947000.0,0.125,92.03125,False,False,False
1387198948000.0,1387198948000.0,0.5,92.03125,False,False,False
1387198949000.0,1387198949000.0,0.0,92.0625,False,False,False
